epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1552.56,0.82068,1.05063,0.87641,0.99816,1,0.995,0.76874,0.83668,1.06848,0.87967,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,1595.93,0.79911,0.9881,0.86523,0.99814,1,0.995,0.75956,0.84454,1.07908,0.88167,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,1639.37,0.75248,0.96266,0.87313,0.99815,1,0.995,0.77388,0.84331,1.04523,0.87982,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,1684.08,0.76329,0.94279,0.86925,0.99818,1,0.995,0.78752,0.80373,1.01401,0.87314,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,1726.62,0.73999,0.96759,0.87959,0.99837,1,0.995,0.78609,0.8174,0.99854,0.87296,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,1769.79,0.70697,0.9225,0.8342,0.99834,1,0.995,0.77397,0.83558,0.99231,0.87293,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,1812.66,0.73441,0.93435,0.87212,0.99844,1,0.995,0.78453,0.8371,0.97893,0.87623,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,1855.16,0.72892,0.92049,0.87823,0.99837,1,0.995,0.77515,0.84445,0.99397,0.87879,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,1900.96,0.76648,0.9411,0.85599,0.9985,1,0.995,0.78718,0.81715,0.95809,0.87133,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,1948.16,0.70296,0.93504,0.86127,0.99865,1,0.995,0.78599,0.82032,0.96145,0.8738,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,1993.92,0.71685,1.19182,0.86778,0.99822,1,0.995,0.78348,0.80813,0.97873,0.86893,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,2036.02,0.70856,1.20577,0.86642,0.99788,1,0.995,0.79122,0.80594,0.97655,0.86751,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,2078.9,0.72863,1.22734,0.86351,0.99812,1,0.995,0.77579,0.81188,1.00692,0.87275,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,2121.66,0.72045,1.20087,0.84387,0.99909,1,0.995,0.78639,0.80047,1.02138,0.86926,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,2165.29,0.68561,1.20046,0.88645,0.99957,1,0.995,0.79374,0.80143,1.00157,0.86847,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,2207.62,0.69897,1.21579,0.8492,1,0.9991,0.995,0.78679,0.80246,0.98557,0.86757,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,2249.76,0.66174,1.15119,0.87982,1,0.99914,0.995,0.78708,0.80062,0.97745,0.86644,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,2292.4,0.66036,1.11212,0.87106,1,0.99938,0.995,0.78369,0.80569,0.973,0.86739,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,2333.93,0.67362,1.13063,0.85069,1,0.99939,0.995,0.78282,0.8083,0.97189,0.86811,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,2377.02,0.65467,1.14626,0.85346,1,0.99947,0.995,0.77598,0.81006,0.97031,0.86908,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
